stat,value,unit,radius
length_implemented,541.13,mile,15
length_unimplemented,1991.38,mile,15
impl_NUMBER_KILLED,61.0,crashes,15
unimpl_NUMBER_KILLED,126.0,crashes,15
total_NUMBER_KILLED,264.0,crashes,15
impl_NUMBER_INJURED,1089.0,crashes,15
unimpl_NUMBER_INJURED,3438.0,crashes,15
total_NUMBER_INJURED,6189.0,crashes,15
impl_COUNT_SEVERE_INJ,275.0,crashes,15
unimpl_COUNT_SEVERE_INJ,798.0,crashes,15
total_COUNT_SEVERE_INJ,1406.0,crashes,15
length_implemented,541.13,mile,20
length_unimplemented,1991.38,mile,20
impl_NUMBER_KILLED,63.0,crashes,20
unimpl_NUMBER_KILLED,126.0,crashes,20
total_NUMBER_KILLED,264.0,crashes,20
impl_NUMBER_INJURED,1112.0,crashes,20
unimpl_NUMBER_INJURED,3482.0,crashes,20
total_NUMBER_INJURED,6189.0,crashes,20
impl_COUNT_SEVERE_INJ,281.0,crashes,20
unimpl_COUNT_SEVERE_INJ,812.0,crashes,20
total_COUNT_SEVERE_INJ,1406.0,crashes,20
