COUNTY,CITY,cross_name,cross_x,cross_y,street1,street2,NUMBER_KILLED_last5,NUMBER_INJURED_last5,COUNT_PED_KILLED_last5,COUNT_PED_INJURED_last5,COUNT_BICYCLIST_KILLED_last5,COUNT_BICYCLIST_INJURED_last5,NUMBER_KILLED_last10,NUMBER_INJURED_last10,COUNT_PED_KILLED_last10,COUNT_PED_INJURED_last10,COUNT_BICYCLIST_KILLED_last10,COUNT_BICYCLIST_INJURED_last10
LOS ANGELES,LOS ANGELES,CORBIN AV/ROSCOE BL,-118.56230010178068,34.220339338559874,CORBIN AV,ROSCOE BL,3.0,44.0,0.0,0.0,0.0,0.0,3.0,83.0,0.0,0.0,0.0,3.0
LOS ANGELES,LOS ANGELES,S HOOVER ST/W 76TH ST,-118.28712065927343,33.970750668972656,S HOOVER ST,W 76TH ST,3.0,9.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,LANKERSHIM BL/SAN FERNANDO RD,-118.38782024140625,34.233689809746096,LANKERSHIM BL,SAN FERNANDO RD,3.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,OXNARD ST/VAN NUYS BL,-118.44873729464824,34.17939529676429,OXNARD ST,VAN NUYS BL,2.0,83.0,1.0,0.0,0.0,1.0,2.0,159.0,1.0,0.0,0.0,3.0
LOS ANGELES,LOS ANGELES,VALERIO ST/VAN NUYS BL,-118.44875238884991,34.20482951149903,VALERIO ST,VAN NUYS BL,2.0,27.0,1.0,5.0,1.0,1.0,3.0,47.0,2.0,8.0,1.0,1.0
LOS ANGELES,LOS ANGELES,SATICOY ST/SHOUP AV,-118.61469456370175,34.20827724679917,SATICOY ST,SHOUP AV,2.0,26.0,0.0,1.0,0.0,1.0,2.0,43.0,0.0,3.0,0.0,1.0
LOS ANGELES,LOS ANGELES,54TH ST/NORMANDIE AV,-118.29999193844607,33.97727312875156,54TH ST,NORMANDIE AV,2.0,26.0,1.0,1.0,0.0,0.0,2.0,48.0,1.0,3.0,0.0,1.0
LOS ANGELES,LOS ANGELES,VANOWEN ST/VINELAND AV,-118.37031057843386,34.19394331939157,VANOWEN ST,VINELAND AV,2.0,24.0,0.0,2.0,0.0,1.0,3.0,61.0,0.0,3.0,0.0,2.0
LOS ANGELES,LOS ANGELES,ARLINGTON AV/EXPOSITION BL,-118.3177508005469,34.018873711848144,ARLINGTON AV,EXPOSITION BL,2.0,22.0,0.0,5.0,0.0,0.0,2.0,40.0,0.0,6.0,0.0,1.0
LOS ANGELES,LOS ANGELES,FIGUEROA ST/GAGE AV,-118.28267101308928,33.98238052780803,FIGUEROA ST,GAGE AV,2.0,22.0,0.0,1.0,0.0,1.0,2.0,49.0,0.0,5.0,0.0,2.0
LOS ANGELES,LOS ANGELES,CENTURY BL/FIGUEROA ST,-118.2826486337976,33.94553921892822,CENTURY BL,FIGUEROA ST,2.0,19.0,1.0,2.0,0.0,4.0,2.0,44.0,1.0,4.0,0.0,4.0
LOS ANGELES,LOS ANGELES,AVALON BL/LOMITA BL,-118.26393861809473,33.79916232577929,AVALON BL,LOMITA BL,2.0,15.0,0.0,3.0,0.0,0.0,2.0,27.0,0.0,3.0,0.0,2.0
LOS ANGELES,LOS ANGELES,DE SOTO AV/PLUMMER ST,-118.58856633900098,34.24272171042774,DE SOTO AV,PLUMMER ST,2.0,14.0,0.0,3.0,0.0,0.0,2.0,26.0,0.0,3.0,0.0,2.0
LOS ANGELES,LOS ANGELES,NORDHOFF ST/TOBIAS AV,-118.45168768903054,34.23541556384588,NORDHOFF ST,TOBIAS AV,2.0,14.0,2.0,1.0,0.0,0.0,2.0,22.0,2.0,3.0,0.0,1.0
LOS ANGELES,LOS ANGELES,DEVONSHIRE ST/RESEDA BL,-118.53609654510419,34.25725864823518,DEVONSHIRE ST,RESEDA BL,2.0,12.0,0.0,2.0,0.0,0.0,2.0,68.0,0.0,2.0,0.0,1.0
LOS ANGELES,LOS ANGELES,NATIONAL BL/SEPULVEDA BL,-118.4286616041084,34.0273540525459,NATIONAL BL,SEPULVEDA BL,2.0,10.0,1.0,0.0,0.0,1.0,2.0,30.0,1.0,1.0,0.0,1.0
LOS ANGELES,LOS ANGELES,68TH ST/NORMANDIE AV,-118.30027007792481,33.97779886393555,68TH ST,NORMANDIE AV,2.0,8.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0
LOS ANGELES,LOS ANGELES,MANCHESTER AV/S BROADWAY,-118.27828146035158,33.96007948874349,MANCHESTER AV,S BROADWAY,2.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0
LOS ANGELES,LOS ANGELES,S FIGUEROA ST/W CENTURY BL,-118.28264999389648,33.94554138183594,S FIGUEROA ST,W CENTURY BL,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,117TH ST/MAIN ST,-118.27390013,33.92740011,117TH ST,MAIN ST,2.0,3.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,FOOTHILL BL/NEWHOME AV,-118.32245635986328,34.25975036621094,FOOTHILL BL,NEWHOME AV,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,FOOTHILL BL/VALMONT ST,-118.29472211844532,34.25233049601758,FOOTHILL BL,VALMONT ST,2.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0
LOS ANGELES,LOS ANGELES,S BROADWAY/W 37TH ST,-118.27593994140624,34.0157585144043,S BROADWAY,W 37TH ST,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,WENTWORTH ST/WHEATLAND AV,-118.35418856585937,34.265930142890625,WENTWORTH ST,WHEATLAND AV,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,ARTESIA BL/S VERMONT AV,-118.29093170166016,33.87287139892578,ARTESIA BL,S VERMONT AV,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,7TH ST/BOYLE ST,-118.21958950226563,34.033438505921225,7TH ST,BOYLE ST,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,BURBANK BL/HJELTE SPORT CENTER PRIVATE ROAD,-118.48624,34.168227,BURBANK BL,HJELTE SPORT CENTER PRIVATE ROAD,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,CROCKER ST/E VERNON AV,-118.26873016357422,34.003860473632805,CROCKER ST,E VERNON AV,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
LOS ANGELES,LOS ANGELES,66TH PL/CRENSHAW BL,-118.33093075666666,33.97871833,66TH PL,CRENSHAW BL,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,POLLARD ST/SAN PASCUAL AV,-118.17314910888672,34.117679595947266,POLLARD ST,SAN PASCUAL AV,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,BEVERLY BL/N IRVING BL,,,BEVERLY BL,N IRVING BL,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,62ND ST/SAINT ANDREWS PL,,,62ND ST,SAINT ANDREWS PL,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,OBAMA BL/S LA CIENEGA BL,-118.3723602294922,34.02170181274414,OBAMA BL,S LA CIENEGA BL,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,EAGLE ROCK BL/W AVE 35,-118.2361297607422,34.114891052246094,EAGLE ROCK BL,W AVE 35,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
