COUNTY,CITY,PRIMARY_RD,NUMBER_KILLED_last5,NUMBER_INJURED_last5,COUNT_PED_KILLED_last5,COUNT_PED_INJURED_last5,COUNT_BICYCLIST_KILLED_last5,COUNT_BICYCLIST_INJURED_last5,NUMBER_KILLED_last10,NUMBER_INJURED_last10,COUNT_PED_KILLED_last10,COUNT_PED_INJURED_last10,COUNT_BICYCLIST_KILLED_last10,COUNT_BICYCLIST_INJURED_last10
LOS ANGELES,LOS ANGELES,NORDHOFF ST,15.0,979.0,4.0,55.0,4.0,19.0,22.0,2225.0,6.0,107.0,4.0,58.0
LOS ANGELES,LOS ANGELES,BURBANK BL,4.0,763.0,1.0,59.0,0.0,21.0,12.0,1765.0,5.0,122.0,0.0,68.0
LOS ANGELES,LOS ANGELES,VAN NUYS BL,7.0,1393.0,2.0,95.0,0.0,68.0,21.0,3229.0,10.0,234.0,3.0,175.0
LOS ANGELES,LOS ANGELES,COBALT ST,1.0,8.0,0.0,2.0,0.0,0.0,1.0,16.0,0.0,2.0,0.0,1.0
LOS ANGELES,LOS ANGELES,VENTURA BL,11.0,1503.0,2.0,135.0,1.0,36.0,28.0,4059.0,9.0,300.0,1.0,122.0
LOS ANGELES,LOS ANGELES,PACIFIC AV,1.0,243.0,0.0,37.0,1.0,21.0,6.0,678.0,3.0,88.0,1.0,57.0
LOS ANGELES,LOS ANGELES,TOWNE AV,0.0,48.0,0.0,7.0,0.0,6.0,1.0,97.0,0.0,18.0,0.0,12.0
LOS ANGELES,LOS ANGELES,WESTERN AV,18.0,1586.0,13.0,189.0,0.0,71.0,43.0,4504.0,27.0,493.0,1.0,212.0
LOS ANGELES,LOS ANGELES,BEVERLY BL,9.0,729.0,5.0,72.0,0.0,37.0,21.0,1801.0,12.0,161.0,0.0,105.0
LOS ANGELES,LOS ANGELES,PICO BL,3.0,723.0,3.0,97.0,0.0,40.0,12.0,2384.0,9.0,284.0,0.0,193.0
LOS ANGELES,LOS ANGELES,EAGLE ROCK BL,4.0,110.0,2.0,10.0,0.0,8.0,5.0,302.0,3.0,27.0,0.0,26.0
LOS ANGELES,LOS ANGELES,VANOWEN ST,14.0,1548.0,4.0,101.0,1.0,36.0,29.0,3429.0,12.0,198.0,2.0,99.0
LOS ANGELES,LOS ANGELES,MARTIN LUTHER KING BL,2.0,179.0,1.0,15.0,0.0,10.0,4.0,633.0,3.0,49.0,0.0,40.0
LOS ANGELES,LOS ANGELES,MENLO AV,0.0,49.0,0.0,8.0,0.0,8.0,0.0,102.0,0.0,20.0,0.0,15.0
LOS ANGELES,LOS ANGELES,FAIRFAX AV,1.0,262.0,0.0,21.0,0.0,9.0,3.0,819.0,0.0,55.0,1.0,41.0
LOS ANGELES,LOS ANGELES,WILSHIRE BL,8.0,1023.0,6.0,105.0,0.0,48.0,19.0,2680.0,14.0,251.0,1.0,160.0
LOS ANGELES,LOS ANGELES,FLORENCE,0.0,122.0,0.0,11.0,0.0,4.0,1.0,241.0,0.0,17.0,0.0,9.0
LOS ANGELES,LOS ANGELES,IMPERIAL HWY,11.0,588.0,3.0,37.0,0.0,19.0,17.0,1337.0,5.0,86.0,0.0,40.0
LOS ANGELES,LOS ANGELES,WEST WASHINGTON BL,3.0,183.0,3.0,12.0,0.0,7.0,3.0,219.0,3.0,16.0,0.0,9.0
LOS ANGELES,LOS ANGELES,AVALON BL,18.0,851.0,11.0,102.0,1.0,38.0,32.0,1778.0,20.0,202.0,2.0,89.0
LOS ANGELES,LOS ANGELES,CULVER BL,2.0,165.0,1.0,6.0,0.0,5.0,7.0,435.0,5.0,17.0,0.0,12.0
LOS ANGELES,LOS ANGELES,MONTEREY RD,0.0,46.0,0.0,3.0,0.0,4.0,1.0,102.0,1.0,4.0,0.0,5.0
LOS ANGELES,LOS ANGELES,S HOOVER ST,5.0,199.0,1.0,21.0,0.0,10.0,6.0,242.0,2.0,24.0,0.0,16.0
LOS ANGELES,LOS ANGELES,PASADENA AV,0.0,69.0,0.0,5.0,0.0,4.0,1.0,185.0,1.0,13.0,0.0,11.0
LOS ANGELES,LOS ANGELES,LANKERSHIM BL,6.0,464.0,4.0,50.0,0.0,24.0,14.0,1167.0,9.0,121.0,0.0,78.0
LOS ANGELES,LOS ANGELES,7TH ST,2.0,355.0,1.0,80.0,1.0,62.0,7.0,989.0,5.0,188.0,1.0,173.0
LOS ANGELES,LOS ANGELES,PARTHENIA ST,9.0,654.0,2.0,35.0,0.0,20.0,17.0,1448.0,4.0,74.0,0.0,50.0
LOS ANGELES,LOS ANGELES,VINELAND AV,11.0,410.0,8.0,31.0,0.0,12.0,13.0,954.0,8.0,63.0,0.0,47.0
LOS ANGELES,LOS ANGELES,RESEDA BL,8.0,827.0,3.0,52.0,0.0,29.0,18.0,2007.0,5.0,121.0,0.0,96.0
LOS ANGELES,LOS ANGELES,VERNON AV,3.0,506.0,1.0,45.0,0.0,22.0,5.0,1303.0,3.0,126.0,0.0,80.0
LOS ANGELES,LOS ANGELES,PALMS BL,1.0,104.0,1.0,11.0,0.0,6.0,1.0,258.0,1.0,25.0,0.0,25.0
LOS ANGELES,LOS ANGELES,WASHINGTON BL,5.0,710.0,3.0,75.0,0.0,64.0,18.0,2022.0,8.0,178.0,1.0,171.0
LOS ANGELES,LOS ANGELES,ARLINGTON AV,3.0,367.0,1.0,28.0,0.0,7.0,6.0,939.0,1.0,49.0,0.0,22.0
LOS ANGELES,LOS ANGELES,CAHUENGA BL,2.0,317.0,0.0,19.0,0.0,11.0,4.0,837.0,1.0,63.0,0.0,28.0
LOS ANGELES,LOS ANGELES,ADAMS BL,5.0,435.0,1.0,45.0,1.0,28.0,11.0,1254.0,4.0,133.0,3.0,89.0
LOS ANGELES,LOS ANGELES,SATICOY ST,6.0,822.0,2.0,43.0,0.0,31.0,15.0,2018.0,5.0,112.0,0.0,73.0
LOS ANGELES,LOS ANGELES,ARLETA AV,0.0,131.0,0.0,2.0,0.0,4.0,1.0,309.0,0.0,13.0,0.0,7.0
LOS ANGELES,LOS ANGELES,VICTORY,0.0,58.0,0.0,2.0,0.0,0.0,0.0,116.0,0.0,5.0,0.0,2.0
LOS ANGELES,LOS ANGELES,S FIGUEROA ST,11.0,472.0,5.0,47.0,0.0,36.0,12.0,531.0,6.0,55.0,0.0,41.0
LOS ANGELES,LOS ANGELES,CENTURY BL,9.0,542.0,3.0,48.0,0.0,13.0,14.0,1181.0,6.0,95.0,1.0,38.0
LOS ANGELES,LOS ANGELES,SANTA MONICA BL,7.0,645.0,5.0,100.0,0.0,52.0,12.0,1592.0,7.0,196.0,0.0,126.0
LOS ANGELES,LOS ANGELES,FOOTHILL BL,25.0,731.0,5.0,56.0,1.0,14.0,40.0,1820.0,8.0,119.0,4.0,40.0
LOS ANGELES,LOS ANGELES,CENTRAL AV,10.0,869.0,7.0,77.0,0.0,44.0,24.0,2199.0,11.0,211.0,2.0,134.0
LOS ANGELES,LOS ANGELES,MAIN ST,5.0,796.0,4.0,84.0,1.0,59.0,8.0,1991.0,5.0,185.0,2.0,169.0
LOS ANGELES,LOS ANGELES,N CAHUENGA BL,0.0,63.0,0.0,6.0,0.0,2.0,0.0,76.0,0.0,6.0,0.0,2.0
LOS ANGELES,LOS ANGELES,FLORENCE AV,13.0,726.0,8.0,56.0,1.0,23.0,23.0,1847.0,13.0,135.0,1.0,64.0
LOS ANGELES,LOS ANGELES,WASHINGTON,0.0,38.0,0.0,1.0,0.0,1.0,0.0,98.0,0.0,8.0,0.0,8.0
LOS ANGELES,LOS ANGELES,ROSCOE BL,19.0,1501.0,7.0,69.0,1.0,34.0,46.0,3842.0,17.0,164.0,2.0,97.0
LOS ANGELES,LOS ANGELES,ROBERTSON BL,3.0,103.0,3.0,13.0,0.0,1.0,4.0,347.0,3.0,31.0,0.0,14.0
LOS ANGELES,LOS ANGELES,COLDWATER CANYON AV,4.0,332.0,3.0,14.0,1.0,2.0,5.0,708.0,3.0,24.0,2.0,16.0
LOS ANGELES,LOS ANGELES,5TH ST,1.0,137.0,0.0,52.0,0.0,11.0,1.0,368.0,0.0,105.0,0.0,43.0
