OBJECTID,City,Status,SchoolLevel,CASE_ID,NUMBER_KILLED,NUMBER_INJURED
2383,Los Angeles,Active,Middle,65,2,63
2418,Los Angeles,Active,High,53,2,51
2381,Los Angeles,Active,High,18,2,16
2805,Los Angeles,Active,High,52,1,51
2626,Los Angeles,Active,Elementary,41,1,40
2459,Los Angeles,Active,Middle,36,1,35
2379,Los Angeles,Active,High,29,1,28
2706,Los Angeles,Active,High,29,1,28
2903,Los Angeles,Active,Elementary,29,1,28
2427,Los Angeles,Active,Elementary,27,1,26
2492,Los Angeles,Active,Elementary,27,1,26
2541,Los Angeles,Active,Elementary,27,1,26
2457,Los Angeles,Active,High,26,1,25
2607,Los Angeles,Active,High,26,1,25
2545,Los Angeles,Active,Elementary,24,1,23
2422,Los Angeles,Active,Elementary,23,1,22
2429,Los Angeles,Active,Elementary,23,1,22
3068,Los Angeles,Active,Elementary,23,1,22
2722,Los Angeles,Active,Elementary,21,1,20
2433,Los Angeles,Active,Elementary,19,1,18
2520,Los Angeles,Active,High,19,1,18
2403,Los Angeles,Active,Elementary-High,18,1,17
2688,Los Angeles,Active,Elementary-High,16,1,15
2512,Los Angeles,Active,Elementary,15,1,14
2960,Los Angeles,Active,Elementary,15,1,14
2524,Los Angeles,Active,Middle,13,1,12
2501,Los Angeles,Active,High,11,1,10
2747,Los Angeles,Active,High,10,1,9
3240,Los Angeles,Active,Elementary,10,1,9
2578,Los Angeles,Active,High,9,1,8
2796,Los Angeles,Active,High,9,1,8
2762,Los Angeles,Active,High,8,1,7
2798,Los Angeles,Active,High,8,1,7
2620,Los Angeles,Active,Elementary,7,1,6
2812,Los Angeles,Active,High,7,1,6
2547,Los Angeles,Active,Elementary,6,1,5
2788,Los Angeles,Active,High,6,1,5
2711,Los Angeles,Active,Elementary,5,1,4
2708,Los Angeles,Active,Elementary,4,1,3
3164,Los Angeles,Active,Elementary,4,1,3
2453,Los Angeles,Active,Elementary-High,3,1,2
2946,Los Angeles,Active,Elementary,3,1,2
2996,Los Angeles,Active,Elementary,3,1,2
3061,Los Angeles,Active,Elementary,3,1,2
2995,Los Angeles,Active,Elementary,2,1,1
1793,Los Angeles,Active,Elementary,59,0,59
2396,Los Angeles,Active,High,52,0,52
2374,Los Angeles,Active,Elementary,46,0,46
1808,Los Angeles,Active,Middle,42,0,42
2377,Los Angeles,Active,Elementary,41,0,41
2428,Los Angeles,Active,Elementary,40,0,40
2507,Los Angeles,Active,Middle,39,0,39
2518,Los Angeles,Active,High,39,0,39
