CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9240113,2021,2021-04-28,0300,2021-04-03,1045,B3324,PLC,6,5,1,0304,0,0,0,,0,020,"RT 49","POPLAR ST",0.00,,Y,A,-,Y,AMA,10,49,-,-,16.900,I,5,N,Y,3,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,AMADOR,PLYMOUTH,-120.84783172607422,38.477840423583984
9302372,2021,2021-08-12,0302,2021-03-05,1456,C9844,IOC,5,5,2,0302,0,0,0,,0,IOC,"S BUENA VISTA ST","MAIN ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21950,B,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",38.352439880371094,-120.93408203125,AMADOR,IONE,-120.93422698974609,38.352546691894531
91593106,2021,2021-10-11,9295,2021-09-17,1405,016799,,5,2,9,0300,0,3,5,,2,001,"SHENANDOAH SCHOOL RD","VOTAW ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.497440338134766,-120.80890655517578,AMADOR,UNINCORPORATED,-120.80888366699219,38.497383117675781
91411583,2021,2021-02-19,9295,2021-02-11,1855,015330,,4,2,9,0300,0,1,3,,1,064,"SR-88 (CARSON PASS HWY)","KIRKWOOD MEADOWS DR",0.00,,Y,D,-,Y,,,88,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,D,C,A,C,H,-,D,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",38.700550079345703,-120.07733917236328,AMADOR,UNINCORPORATED,-120.077392578125,38.700725555419922
91496485,2021,2021-06-14,9295,2021-06-10,2045,019387,,4,2,9,0300,0,3,5,,2,005,"BELDEN MINE ROAD","BLACK PRINCE ROAD",1000.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.438789367675781,-120.51911926269531,AMADOR,UNINCORPORATED,-120.52207183837891,38.438884735107422
91589232,2021,2021-10-06,9295,2021-09-29,1550,018684,,3,2,9,0300,0,3,5,,2,005,"RAMS HORN GRADE","SAATHOFF MTN RD",1200.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",38.463581085205078,-120.62319946289062,AMADOR,UNINCORPORATED,-120.62321472167969,38.463642120361328
91554974,2021,2021-08-26,9295,2021-08-17,0817,016245,,2,1,9,0300,0,3,5,,2,002,"MARTELL RD",SR-49,616.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",38.366180419921875,-120.79763031005859,AMADOR,UNINCORPORATED,-120.79758453369141,38.366134643554688
91594181,2021,2021-10-12,9295,2021-09-30,1500,014943,,4,2,9,0300,0,3,5,,2,003,"CAMANCHE PKY N","CHINA GULCH RD",3168.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.256649017333984,-120.89134216308594,AMADOR,UNINCORPORATED,-120.90839385986328,38.251003265380859
91589829,2021,2021-10-06,9295,2021-09-30,1245,014943,,4,1,9,0300,0,3,5,,2,005,"PIONEER VOLCANO RD","DIAMOND VIEW DR",200.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,05,21650,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",38.421619415283203,-120.6153564453125,AMADOR,UNINCORPORATED,-120.61559295654297,38.421665191650391
91626433,2021,2021-11-16,9295,2021-11-11,1945,019389,,4,2,9,0300,0,3,5,,2,004,"CLIMAX RD","CHASE RD",480.00,W,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,05,21650,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.405208587646484,-120.69773101806641,AMADOR,UNINCORPORATED,-120.69771575927734,38.405143737792969
